frame,player_id,status,x_min,y_min,x_max,y_max
1,Player_1,Tentative,596.1941,352.6306,648.0657,425.15765
1,Player_2,Tentative,323.65387,120.400604,350.62726,171.03986
1,Player_3,Tentative,294.47437,317.18744,342.99945,375.5371
1,Player_4,Tentative,814.6302,259.15393,853.18524,332.54834
1,Player_5,Tentative,630.1803,140.57892,654.8953,185.80998
1,Player_6,Tentative,105.61337,200.02051,142.85864,261.13312
1,Player_7,Tentative,528.38916,61.996525,550.39294,96.883026
1,Player_8,Tentative,277.99896,116.42822,304.0999,162.81772
1,Player_9,Tentative,665.4862,93.09874,685.2636,133.04732
1,Player_10,Tentative,541.3395,146.4357,567.8872,197.71037
2,Player_1,Confirmed,603.188952345193,350.69189338088876,654.2927382218725,422.1141741802332
2,Player_2,Confirmed,331.7625440317591,120.6190530752925,358.59121113307,170.92768018150335
2,Player_3,Confirmed,299.63254255703373,316.0979614221933,347.7828486253062,374.1203648544187
2,Player_4,Confirmed,819.3078209875111,258.3828220860517,857.5247963781492,330.85750460476265
2,Player_5,Confirmed,635.4580953261701,140.4935342450413,660.293514882052,186.07715556474182
2,Player_6,Confirmed,114.15187774914533,198.90131825849045,151.94009315171337,260.9235365686338
2,Player_8,Confirmed,286.238432637391,116.59047957558495,312.1821632140517,162.6270726724089
2,Player_10,Confirmed,546.4326676010869,146.25932702741085,572.8404088451553,197.41831301526307
2,Player_11,Tentative,396.68835,321.89832,434.50427,389.12375
3,Player_1,Confirmed,609.6171414183208,349.17411391720316,660.2834620947217,419.8998814132922
3,Player_2,Confirmed,341.0242006803427,120.58422501895397,367.7208267223092,170.5067733252022
3,Player_3,Confirmed,302.9893436386508,314.4438310945838,352.25099790225295,374.38862975880835
3,Player_4,Confirmed,821.9770030768666,258.22671175938433,860.0944904539093,329.5882850972535
3,Player_5,Confirmed,643.2917734131499,140.44852051763934,668.3410619452261,186.62026035076258
3,Player_6,Confirmed,122.04710730470495,198.6466747963684,159.87315491220795,260.6954178160116
3,Player_8,Confirmed,295.3122244530829,116.52665886250553,321.3105973666137,162.6336739043566
3,Player_10,Confirmed,552.6416872382513,145.65579117528492,579.4268712746746,197.7883671630761
3,Player_12,Tentative,684.2119,94.34653,700.6943,132.61539
3,Player_13,Tentative,435.14,71.59508,457.72964,109.88668
4,Player_1,Confirmed,617.1083794792745,347.791294159635,665.3575582732185,414.9778468745929
4,Player_2,Confirmed,351.29025381639286,120.88119406799295,377.7152845541234,170.09814740609283
4,Player_3,Confirmed,308.7916593828745,313.0045005442383,358.4620315802046,374.3997950784744
4,Player_4,Confirmed,815.2533764675073,257.694907286359,853.641567355807,329.51909746332257
4,Player_5,Confirmed,652.0000667527294,139.25521773932326,677.6183865489271,186.64452613368667
4,Player_6,Confirmed,130.08109809450664,198.72899780906062,167.91662061770577,260.64954983487803
4,Player_8,Confirmed,305.7930749863713,116.44536848227263,331.6389330525519,162.29246982785855
4,Player_10,Confirmed,560.6426729325857,144.83022497532374,587.8674464379063,198.12736726154736
4,Player_13,Confirmed,443.54069947705773,72.46613602466371,465.7124578284432,109.97340929080897
4,Player_14,Tentative,559.25854,62.5433,574.55396,95.84094
5,Player_1,Confirmed,624.2575939792782,346.90884674190727,669.6964009985536,409.9761404776061
5,Player_2,Confirmed,360.8217934215616,120.86242602316752,387.3311369854186,170.03147968623324
5,Player_3,Confirmed,316.78831750798236,312.1763966744835,366.34263087267686,374.2793829417576
5,Player_4,Confirmed,814.5799088565093,258.2232635424101,853.1160484242629,330.3662454879399
5,Player_5,Confirmed,660.6704141163391,138.85974113743112,686.6618665727748,186.9345825326855
5,Player_6,Confirmed,137.09457305980774,198.86398485072158,175.0058081789733,260.7652905945008
5,Player_8,Confirmed,315.5156409545336,116.33853746473106,341.2347732816578,162.20219854726128
5,Player_10,Confirmed,568.5281800555183,144.60993487191465,596.2989268589287,199.10630130591136
5,Player_13,Confirmed,452.41219824761765,72.86967436585799,474.5982923265034,110.36234167238277
6,Player_1,Confirmed,628.5032367353223,345.62713372919615,674.3674477575827,409.5397017014326
6,Player_2,Confirmed,369.7571109028162,120.28259764054877,396.4022304731523,169.5971055956715
6,Player_3,Confirmed,321.3602474767099,310.88899213847634,371.94615924530126,374.5518558289053
6,Player_4,Confirmed,818.010032214934,259.96533374188976,855.7315986761018,331.25723018730775
6,Player_5,Confirmed,668.0960682932763,138.69744972261427,694.2530042453874,186.75283572062557
6,Player_6,Confirmed,143.4530969376247,199.908640234575,180.5544257704423,260.7086675615992
6,Player_8,Confirmed,323.1617745317365,116.28629717701187,348.8416299490548,162.07991813031452
6,Player_10,Confirmed,576.3329517123824,144.81846252539063,604.2456670188392,199.7099060099624
6,Player_13,Confirmed,462.70869081877385,73.1819039260647,484.4585932073097,109.9117533489476
7,Player_1,Confirmed,634.2958484667422,343.5935975903642,680.7770644282404,408.58308971205213
7,Player_2,Confirmed,378.3916039811493,119.91699282583264,405.05882160387443,169.28382447840661
7,Player_3,Confirmed,325.76232563748124,309.83725653899927,377.1871185172178,374.55586516016206
7,Player_4,Confirmed,817.9654960544289,260.3166867683458,855.5562238475366,331.3613053071379
7,Player_5,Confirmed,675.6692264528242,138.95831747188228,702.1283876753473,186.88596311906795
7,Player_6,Confirmed,149.02156725019032,200.2313131791182,185.24876717686595,260.0610024259387
7,Player_8,Confirmed,330.80790810855495,116.23405688929267,356.4484866168361,161.95763771336777
7,Player_10,Confirmed,585.2223142664458,145.59560699926618,612.8704903198999,199.8710680950894
7,Player_13,Confirmed,472.2263627680746,72.98740822665275,493.8030364305115,109.52688405169175
7,Player_15,Tentative,720.45776,93.37073,738.58905,133.73338
8,Player_1,Confirmed,640.3681975490493,341.4993279044317,688.3574801019798,408.553861252116
8,Player_2,Confirmed,386.7625195876773,119.46335384584553,413.30592124341877,169.0160825022948
